WY	date	CoalCreek reg
2007	7/6/2007	0.283
2007	7/7/2007	0.279
2007	7/8/2007	0.262
2007	7/9/2007	0.220
2007	7/10/2007	0.195
2007	7/11/2007	0.187
2007	7/12/2007	0.191
2007	7/13/2007	0.195
2007	7/14/2007	0.174
2007	7/15/2007	0.158
2007	7/16/2007	0.146
2007	7/17/2007	0.142
2007	7/18/2007	0.138
2007	7/19/2007	0.134
2007	7/20/2007	0.150
2007	7/21/2007	0.270
2007	7/22/2007	0.336
2007	7/23/2007	0.203
2007	7/24/2007	0.241
2007	7/25/2007	0.187
2007	7/26/2007	0.220
2007	7/27/2007	0.288
2007	7/28/2007	0.363
2007	7/29/2007	0.236
2007	7/30/2007	0.187
2007	7/31/2007	0.174
2007	8/1/2007	0.158
2007	8/2/2007	0.142
2007	8/3/2007	0.134
2007	8/4/2007	0.123
2007	8/5/2007	0.119
2007	8/6/2007	0.203
2007	8/7/2007	0.182
2007	8/8/2007	0.150
2007	8/9/2007	0.127
2007	8/10/2007	0.111
2007	8/11/2007	0.103
2007	8/12/2007	0.096
2007	8/13/2007	0.096
2007	8/14/2007	0.100
2007	8/15/2007	0.096
2007	8/16/2007	0.100
2007	8/17/2007	0.127
2007	8/18/2007	0.103
2007	8/19/2007	0.092
2007	8/20/2007	0.084
2007	8/21/2007	0.073
2007	8/22/2007	0.065
2007	8/23/2007	0.062
2007	8/24/2007	0.058
2007	8/25/2007	0.058
2007	8/26/2007	0.044
2007	8/27/2007	0.039
2007	8/28/2007	0.053
2007	8/29/2007	0.053
2007	8/30/2007	0.062
2007	8/31/2007	0.073
2007	9/1/2007	0.065
2007	9/2/2007	0.069
2007	9/3/2007	0.069
2007	9/4/2007	0.077
2007	9/5/2007	0.111
2007	9/6/2007	0.178
2007	9/7/2007	0.142
2007	9/8/2007	0.107
2007	9/9/2007	0.084
2007	9/10/2007	0.065
2007	9/11/2007	0.058
2007	9/12/2007	0.058
2007	9/13/2007	0.058
2007	9/14/2007	0.058
2007	9/15/2007	0.058
2007	9/16/2007	0.088
2007	9/17/2007	0.395
2007	9/18/2007	0.447
2007	9/19/2007	0.301
2007	9/20/2007	0.191
2007	9/21/2007	0.170
2007	9/22/2007	0.158
2007	9/23/2007	0.199
2007	9/24/2007	0.318
2007	9/25/2007	0.236
2007	9/26/2007	0.211
2007	9/27/2007	0.191
2007	9/28/2007	0.187
2007	9/29/2007	0.182
2007	9/30/2007	0.174
2008	10/1/2007	0.166
2008	10/2/2007	0.368
2008	10/3/2007	0.345
2008	10/4/2007	0.292
2008	10/5/2007	0.275
2008	10/6/2007	0.262
2008	10/7/2007	0.228
2008	10/8/2007	0.203
2008	10/9/2007	0.191
2008	10/10/2007	0.178
2008	10/11/2007	0.162
2008	10/12/2007	0.150
2008	10/13/2007	0.134
2008	10/14/2007	0.134
2008	10/15/2007	0.131
2008	10/16/2007	0.131
2008	10/17/2007	0.123
2008	10/18/2007	0.123
2008	10/19/2007	0.127
2008	10/20/2007	0.138
2008	10/21/2007	0.134
2008	10/22/2007	0.115
2008	10/23/2007	0.154
2008	10/24/2007	0.174
2008	10/25/2007	0.146
2008	10/26/2007	0.154
2008	10/27/2007	0.158
2008	10/28/2007	0.158
2008	10/29/2007	0.154
2008	10/30/2007	0.146
2008	10/31/2007	0.146
2008	11/1/2007	0.138
2008	11/2/2007	0.131
2008	11/3/2007	0.119
2008	11/4/2007	0.119
2008	11/5/2007	0.115
2008	11/6/2007	0.111
2008	11/7/2007	0.107
2008	11/8/2007	0.107
2008	11/9/2007	0.103
2008	11/10/2007	0.103
2008	11/11/2007	0.100
2008	11/12/2007	0.100
2008	11/13/2007	0.096
2008	11/14/2007	0.096
2008	11/15/2007	0.084
2008	11/16/2007	0.092
2008	11/17/2007	0.088
2008	11/18/2007	0.084
2008	11/19/2007	0.080
2008	11/20/2007	0.080
2008	11/21/2007	0.077
2008	11/22/2007	0.080
2008	11/23/2007	0.080
2008	11/24/2007	0.077
2008	11/25/2007	0.077
2008	11/26/2007	0.080
2008	11/27/2007	0.080
2008	11/28/2007	0.077
2008	11/29/2007	0.077
2008	11/30/2007	0.080
2008	12/1/2007	0.080
2008	12/2/2007	0.077
2008	12/3/2007	0.077
2008	12/4/2007	0.077
2008	12/5/2007	0.077
2008	12/6/2007	0.077
2008	12/7/2007	0.077
2008	12/8/2007	0.077
2008	12/9/2007	0.073
2008	12/10/2007	0.069
2008	12/11/2007	0.069
2008	12/12/2007	0.069
2008	12/13/2007	0.069
2008	12/14/2007	0.069
2008	12/15/2007	0.069
2008	12/16/2007	0.069
2008	12/17/2007	0.073
2008	12/18/2007	0.077
2008	12/19/2007	0.073
2008	12/20/2007	0.077
2008	12/21/2007	0.073
2008	12/22/2007	0.069
2008	12/23/2007	0.065
2008	12/24/2007	0.077
2008	12/25/2007	0.073
2008	12/26/2007	0.065
2008	12/27/2007	0.077
2008	12/28/2007	0.062
2008	12/29/2007	0.077
2008	12/30/2007	0.084
2008	12/31/2007	0.073
2008	1/1/2008	0.063
2008	1/2/2008	0.065
2008	1/3/2008	0.084
2008	1/4/2008	0.092
2008	1/5/2008	0.096
2008	1/6/2008	0.084
2008	1/7/2008	0.069
2008	1/8/2008	0.084
2008	1/9/2008	0.092
2008	1/10/2008	0.084
2008	1/11/2008	0.088
2008	1/12/2008	0.080
2008	1/13/2008	0.065
2008	1/14/2008	0.062
2008	1/15/2008	0.073
2008	1/16/2008	0.088
2008	1/17/2008	0.063
2008	1/18/2008	0.073
2008	1/19/2008	0.080
2008	1/20/2008	0.088
2008	1/21/2008	0.084
2008	1/22/2008	0.084
2008	1/23/2008	0.084
2008	1/24/2008	0.077
